Proteome ID	Organism	Organism ID	Last modified
UP000001294	Penicillium marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333)	441960	2014-12-08
UP000001742	Enterocytozoon bieneusi (strain H348) (Microsporidian parasite)	481877	2014-10-15
UP000000600	Paramecium tetraurelia	5888	2015-04-01
UP000000599	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	284592	2015-04-01
UP000001300	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	284591	2015-04-01
UP000000598	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	284590	2015-04-01
UP000001875	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167)	332952	2015-04-01
UP000002296	Trypanosoma cruzi (strain CL Brener)	353153	2014-11-15
UP000001548	Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia)	184922	2014-10-22
UP000027399	Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970)	764103	2015-03-09
UP000002173	Babesia bovis	5865	2014-10-15
UP000008984	Hypocrea jecorina (strain QM6a) (Trichoderma reesei)	431241	2014-11-08
UP000008983	Ichthyophthirius multifiliis (strain G5) (White spot disease agent) (Ich)	857967	2014-10-15
UP000000304	Drosophila simulans (Fruit fly)	7240	2014-11-01
UP000012960	Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis)	214687	2015-04-01
UP000010094	Encephalitozoon romaleae (strain SJ-2008) (Microsporidian parasite)	1178016	2015-04-01
UP000008066	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719)	759272	2015-04-01
UP000008068	Caenorhabditis brenneri (Nematode worm)	135651	2014-10-15
UP000002729	Aureococcus anophagefferens (Harmful bloom alga)	44056	2014-10-15
